id,prediction
225096,0.010913383
220040,0.027833512
26535,0.035988756
77272,0.07936779
193584,0.023121666
239056,0.015346236
237967,0.027138906
47362,0.0537088
225452,0.018938664
72809,0.013845173
84014,0.023506677
92076,0.06096212
19827,0.01027551
163304,0.031670902
62938,0.014101483
137547,0.027979009
13374,0.01061002
176608,0.044727046
60008,0.009949041
105778,0.031653754
195690,0.013342154
171528,0.022595344
171334,0.03637654
116596,0.026929574
179935,0.02137927
11485,0.0678351
64935,0.042703237
86990,0.04766001
18373,0.028042817
210480,0.013790636
140537,0.01888187
63798,0.022451933
208381,0.015450751
98658,0.029744795
101536,0.014358575
58255,0.024889978
164304,0.030852282
72596,0.016933335
61553,0.042120643
247085,0.055568505
180429,0.015780902
16257,0.018981045
82010,0.042719398
140437,0.021144819
27767,0.009362486
112934,0.04894839
136882,0.054600853
50282,0.024908455
172073,0.061168794
209599,0.033497684
58728,0.032695197
183656,0.017332284
22077,0.024768876
77144,0.06581846
183966,0.01650631
189152,0.025640348
221331,0.06389559
213895,0.016414978
131287,0.025116587
128253,0.015745895
106740,0.0075418465
94863,0.032593187
179557,0.066436864
242651,0.03637551
28319,0.049028464
78121,0.037462667
29401,0.027868388
230214,0.12169568
202794,0.02270009
54047,0.035088178
44530,0.015069338
190410,0.0197214
125164,0.021290332
114706,0.031129714
150276,0.03609127
44252,0.021190314
231577,0.13335243
188405,0.015242922
183162,0.013320653
248614,0.036472186
34600,0.014470609
149830,0.017905753
70684,0.015790058
10030,0.009187528
235480,0.041628033
240637,0.0337343
88245,0.024118463
5239,0.031622745
22690,0.036698744
97192,0.056438934
168486,0.022957066
52867,0.023530206
128298,0.012105791
221904,0.042887256
14180,0.01240027
228685,0.035220712
109888,0.02200634
195298,0.012784945
52902,0.013638202
160878,0.03304039
229615,0.024067197
220351,0.032633085
187112,0.011984507
178517,0.028814541
31731,0.024911212
109293,0.03397641
239152,0.060346536
183117,0.045796525
71697,0.040440183
172850,0.0363243
117502,0.031767577
51767,0.017038856
124581,0.02279646
169363,0.016643666
101165,0.013379221
63721,0.045161244
172112,0.061673824
17083,0.011291555
205241,0.03830675
178332,0.010711545
101069,0.012226403
198365,0.0506051
194890,0.03544873
99983,0.052254938
63837,0.033574603
220559,0.014640977
147258,0.020442681
53816,0.05479837
219565,0.05540098
27866,0.043013025
238243,0.037613418
235114,0.033899866
228370,0.015607637
129593,0.023143977
150651,0.0670209
247427,0.0086579425
64006,0.011420793
155154,0.0577544
138188,0.04180765
198809,0.02312667
113826,0.07814993
62744,0.030971834
223271,0.03255656
222175,0.016579473
166643,0.014117953
124498,0.05015652
245614,0.040234584
226911,0.015558006
189367,0.015361129
13586,0.02652055
50860,0.025767239
61924,0.018007956
141864,0.015264066
72790,0.0126258945
248775,0.045569744
86896,0.025623497
134227,0.036937416
41788,0.020390991
78053,0.01742979
135309,0.11533744
9604,0.020799167
203848,0.018567652
218575,0.027375542
98558,0.012349307
2297,0.06833124
117737,0.013151499
227695,0.034967747
151025,0.021246435
99986,0.010642279
12162,0.05157674
9225,0.042071965
72536,0.0173032
174969,0.037066158
49102,0.046095602
107261,0.008916106
246276,0.025073778
96915,0.12488166
140614,0.0381552
10070,0.01407325
179597,0.020338338
14954,0.018066684
166780,0.009992449
98599,0.018986672
76289,0.020653905
118501,0.017609198
97059,0.011040502
156361,0.029505184
132300,0.042571403
150921,0.020001357
158253,0.012566084
149989,0.017916966
33021,0.009365631
22622,0.01319684
20809,0.01785159
185471,0.015517497
92871,0.027747707
213370,0.032031346
112041,0.011386824
122511,0.016250057
120352,0.049209516
179406,0.022681441
95080,0.023347242
150329,0.0142922895
103059,0.018160762
12048,0.028443135
34409,0.01846011
67288,0.011320668
126151,0.016932454
246612,0.018035885
190145,0.018878888
15151,0.028807217
111375,0.021770587
101502,0.011543733
88313,0.05082277
219831,0.026161334
70682,0.020003943
212373,0.017595882
239456,0.014285949
39437,0.023899997
139349,0.012225297
209522,0.019611143
6113,0.012981031
188993,0.023325227
200542,0.027245319
15273,0.009174364
15564,0.035633765
8760,0.018054921
31881,0.04343763
49791,0.049890015
161962,0.04783392
181327,0.02366026
106332,0.02041989
172208,0.043007284
9947,0.0217417
61706,0.019943388
215526,0.03226823
66688,0.018588344
111785,0.051246908
156591,0.010565722
189379,0.043913297
138717,0.014072985
125504,0.025823912
171202,0.0336508
35612,0.036995195
248562,0.087679364
226315,0.036003955
423,0.031059282
75771,0.0348962
223686,0.015801666
160155,0.04914477
133103,0.022982905
39495,0.027572405
201564,0.057981253
184781,0.015963068
104620,0.011707544
234957,0.026948305
112887,0.020640261
83500,0.038598605
125601,0.049445953
33299,0.039488487
175731,0.025564188
248745,0.016976252
202520,0.029242007
67618,0.029570602
123621,0.049869597
175857,0.037823837
49285,0.022438392
192476,0.02930688
190499,0.05058406
102485,0.017341804
